Time [s], Analyzer Name, Decoded Protocol Result
0.448403500000000,I2C,Setup Write to [N (0x4E)] + ACK
0.448499000000000,I2C,'8' (0x08) + ACK
0.448633500000000,I2C,Setup Write to [N (0x4E)] + ACK
0.448728500000000,I2C,'12' (0x0C) + ACK
0.448863000000000,I2C,Setup Write to [N (0x4E)] + ACK
0.448958500000000,I2C,'8' (0x08) + ACK
0.449153000000000,I2C,Setup Write to [N (0x4E)] + ACK
0.449248000000000,I2C,'24' (0x18) + ACK
0.449382500000000,I2C,Setup Write to [N (0x4E)] + ACK
0.449478000000000,I2C,'28' (0x1C) + ACK
0.449612000000000,I2C,Setup Write to [N (0x4E)] + ACK
0.449707500000000,I2C,'24' (0x18) + ACK
0.451989000000000,I2C,Setup Write to [N (0x4E)] + ACK
0.452084500000000,I2C,'136' (0x88) + ACK
0.452219000000000,I2C,Setup Write to [N (0x4E)] + ACK
0.452314500000000,I2C,'140' (0x8C) + ACK
0.452448500000000,I2C,Setup Write to [N (0x4E)] + ACK
0.452544000000000,I2C,'136' (0x88) + ACK
0.452728500000000,I2C,Setup Write to [N (0x4E)] + ACK
0.452823500000000,I2C,'8' (0x08) + ACK
0.452958000000000,I2C,Setup Write to [N (0x4E)] + ACK
0.453053500000000,I2C,'12' (0x0C) + ACK
0.453197500000000,I2C,Setup Write to [N (0x4E)] + ACK
0.453293000000000,I2C,'8' (0x08) + ACK
0.453492500000000,I2C,Setup Write to [N (0x4E)] + ACK
0.453587500000000,I2C,) (0x29) + ACK
0.453722000000000,I2C,Setup Write to [N (0x4E)] + ACK
0.453817500000000,I2C,- (0x2D) + ACK
0.453952000000000,I2C,Setup Write to [N (0x4E)] + ACK
0.454047000000000,I2C,) (0x29) + ACK
0.454241500000000,I2C,Setup Write to [N (0x4E)] + ACK
0.454337000000000,I2C,\t (0x09) + ACK
0.454471000000000,I2C,Setup Write to [N (0x4E)] + ACK
0.454566500000000,I2C,\r (0x0D) + ACK
0.454701000000000,I2C,Setup Write to [N (0x4E)] + ACK
0.454796000000000,I2C,\t (0x09) + ACK
0.454985500000000,I2C,Setup Write to [N (0x4E)] + ACK
0.455081000000000,I2C,I (0x49) + ACK
0.455220500000000,I2C,Setup Write to [N (0x4E)] + ACK
0.455316000000000,I2C,M (0x4D) + ACK
0.455450500000000,I2C,Setup Write to [N (0x4E)] + ACK
0.455545500000000,I2C,I (0x49) + ACK
0.455735000000000,I2C,Setup Write to [N (0x4E)] + ACK
0.455830500000000,I2C,Y (0x59) + ACK
0.455965000000000,I2C,Setup Write to [N (0x4E)] + ACK
0.456060000000000,I2C,] (0x5D) + ACK
0.456194500000000,I2C,Setup Write to [N (0x4E)] + ACK
0.456289500000000,I2C,Y (0x59) + ACK
0.456479000000000,I2C,Setup Write to [N (0x4E)] + ACK
0.456574500000000,I2C,i (0x69) + ACK
0.456709000000000,I2C,Setup Write to [N (0x4E)] + ACK
0.456804000000000,I2C,m (0x6D) + ACK
0.456938500000000,I2C,Setup Write to [N (0x4E)] + ACK
0.457034000000000,I2C,i (0x69) + ACK
0.457218000000000,I2C,Setup Write to [N (0x4E)] + ACK
0.457313500000000,I2C,'233' (0xE9) + ACK
